Timestamp,1. What physical symptoms do you experience when you breathe the PM2.5 smoke?,2.  What is your age group?,3. Which of these activities do you stop  or change when the smoke gets bad?,4. Which of these items have you bought or used more often because of the smoke ?,5. What changes do you see in your neighborhood or local market when the smoke is bad?,6.  What is your primary way of managing the smoke when you are outdoors?  ,7. How much does the smoky season affect your mood or stress level?,8. Does the air quality change how you talk or interact with others?,"9. When you are at home during the smoky season, how do you manage to keep the indoor air and the heat?","10. Do you spend less time in public places like temples, parks, or markets because of the air quality? ","11.  In your opinion, why do many people in Maesot choose not to wear masks outside?",12.  Do you only wear a mask when you start to feel sick or see a lot of dust?,13.   How often do you have to clean dust or ash inside your home  shop during the smoky season?,14.  What is the main reason you wear a mask?,15. Does the smoke feel like a normal part of life that will never change?,"16. Since PM2.5 is found in many parts of Thailand, how do you feel about living here during the smoky season?","17.  When you are in a comfortable indoor place with air conditioning (like a restaurant or a large shop), do you usually take your mask off?","18. In your opinion, which of these is the biggest cause of the air pollution?",19. How do you check or know if the air quality (PM2.5) is bad today?,20. Do you think the air quality in Maesot and Tak will improve in the next 5 years?
28/03/2026 23:04:42,"Allergic reactions (sneezing, itchy eyes)",18-25,"Playing sports outdoors (football, running, etc.)",More electricity for fans or Air Conditioning (AC),The mountains or far-away buildings are hard to see,travel by a car,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Maybe people don’t realize about it’s impact that much,"No, I rarely wear one anyway.",Never,"I don't wear a mask, no one forces me to.","No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,I check through social media (Facebook/Line groups),"No, I think it will stay the same or get worse."
30/03/2026 19:04:11,Breathing problems or respiratory issues,26-40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Same as usual,"In my opinion, many people in Mae Sot choose not to wear masks outdoors due to a decreased perception of COVID-19 risk. Additionally, the hot climate makes mask-wearing uncomfortable, and some individuals believe it is no longer necessary.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now, No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)",I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
30/03/2026 19:37:59,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, Eye drops or nasal spray, Medicines for cough or allergies","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Less awareness for bad impact of air pollution,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem, I only notice it during the very hot months (Jan-May)","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
30/03/2026 21:07:17,"Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall",26-40,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,"Fewer people are walking around or shopping, The air smells like like burning or woodsmoke","wear a mask, bring alcohol spray, travel by a car",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,lack of health education,"Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
30/03/2026 21:12:11,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall, Skin rashes ",26-40,"Hanging out with friends at cafes or parks, Exercising or walking outside","Face masks, Eye drops or nasal spray","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,"As the weather is hot, wearing mask outdoors can be very uncomfortable. Some people probably cannot afford buying masks. For me personally, I don’t want to wear masks for a long time as they irritate my skin and cause acne problems.","Yes, only when I feel bad or see dust.",Few times a week,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
01/04/2026 13:57:26,Breathing problems or respiratory issues,Over 40,"Playing sports outdoors (football, running, etc.), Exercising or walking outside","Face masks, Air purifier or new filters","The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey",Checking air quality apps before leaving the house and minimizing time spent outdoors,I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.","Monitor Air Quality: Only open windows for a quick ""flush"" of fresh air if the AQI (Air Quality Index) temporarily drops (usually in the very early morning or after a rare rain shower). Check apps like AirVisual or IQAir before opening up.",Only for work or food.,"The ""Heat and Humidity"" Factor Mae Sot is exceptionally hot, especially during the peak of the smoky season (March–April).  Physical Discomfort: Wearing a tight-fitting N95 mask makes breathing feel restricted and causes the face to sweat profusely. It’s often a difficult trade-off. For many in Mae Sot, the choice isn't between ""being healthy"" and ""being stubborn""—it's often a choice between ""being able to work comfortably in 40°C heat"" and ""protecting their long-term health.","Yes, only when I feel bad or see dust.",Everyday,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now",I will stay here and just accept it as part of life.,"Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke coming from across the border / areas, Mountainous geography",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
06/04/2026 09:08:15,"Allergic reactions (sneezing, itchy eyes)",Over 40,Traveling or going on trips around Maesot,Face masks,"More people are wearing masks, The air smells like like burning or woodsmoke","wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open.",A little less than before.,"Because of the weather, too hot to wear a mask","No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
06/04/2026 09:08:59,"Feeling sick, tired, or dizzy overall",Under 18,"Playing sports outdoors (football, running, etc.), Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside",Face masks,"More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed  and worried,"No, the smoke doesn't change how I socialize or talk to people.","Open all windows and doors to let the air flow., Use fans and keep the window open., Stay in a room with AC turned on with all windows closed.",Only for work or food.,Bc they are lazy,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"I only notice it during the very hot months (Jan-May), I try not to think about it at all","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public, Smoke coming from across the border / areas",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
06/04/2026 09:26:55,"Feeling sick, tired, or dizzy overall",26-40,Working or studying in outdoor areas,Air purifier or new filters,Everything looks grey,"wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Use fans and keep the window open.,Staying inside mostly.,I think we are short of breath.,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"No, I don't feel it is necessary to wear a mask indoors","Smoke from old cars, trucks, and motorcycles",I just look at the sky or clouds with my own eyes,"No, I think it will stay the same or get worse."
06/04/2026 09:31:53,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Working or studying in outdoor areas, Exercising or walking outside","Face masks, Indoor cleaning supplies, More electricity for fans or Air Conditioning (AC), Air purifier or new filters, Medicines for cough or allergies","More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Same as usual, because they feel the risk is low in open-air environments.,"No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,"No, I still feel it is a dangerous and unusual problem","I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
06/04/2026 09:38:27,"Allergic reactions (sneezing, itchy eyes)",Over 40,Exercising or walking outside,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel normal / calm,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Because the weather is hot,"Yes, only when I feel bad or see dust.",Everyday,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now","I don't care about the smoke, I just focus on my daily life.",I only wear it if there are many people around,Burning of agricultural fields and forests,I just look at the sky or clouds with my own eyes,"Yes, I believe it will get better."
06/04/2026 10:37:05,"Feeling sick, tired, or dizzy overall, Normal but atmosphere isn't clean",Under 18,"Playing sports outdoors (football, running, etc.), Working or studying in outdoor areas, Exercising or walking outside, Growing plants more than then ",I didn't buy items because it didn't impact to me,"More people are wearing masks, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel normal / calm,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,I like to go public area but I'm busy to go,Atmosphere level is dirty but don't impact to people for now,"Yes, only when I feel bad or see dust.",Only when it's bad,"I don't wear a mask, no one forces me to.","No, I still feel it is a dangerous and unusual problem","I don't care about the smoke, I just focus on my daily life.","Yes, I feel safe from the smoke inside","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Burning trash or smoking cigarettes in public",Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
06/04/2026 11:34:27,"Feeling sick, tired, or dizzy overall",Under 18,"Playing sports outdoors (football, running, etc.), Traveling or going on trips around Maesot, Exercising or walking outside","More electricity for fans or Air Conditioning (AC), Air purifier or new filters, Medicines for cough or allergies","More people are wearing masks, Fewer people are walking around or shopping, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,"Because masks can be annoying, and also not everyone wants to wear them because it might be uncomfortable","No, I rarely wear one anyway.",Few times a week,"I wear it sometimes, but take it off when I'm not at work.","Yes, it's just a normal part of every year now","I want to leave, but I have no choice because of my work or school.","No, I don't feel it is necessary to wear a mask indoors",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
06/04/2026 12:56:57,Breathing problems or respiratory issues,18-25,Working or studying in outdoor areas,Face masks,More people are wearing masks,"wear a mask, bring alcohol spray",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,They might feel annoying and uncomfortable.,"No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),I will stay here and just accept it as part of life.,"Yes, I feel safe from the smoke inside",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
06/04/2026 15:07:54,Breathing problems or respiratory issues,26-40,"Exercising or walking outside, Running","Indoor cleaning supplies, Air purifier or new filters","More people are wearing masks, Fewer people are walking around or shopping, The air smells like like burning or woodsmoke, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel a little bit annoyed,"No, the smoke doesn't change how I socialize or talk to people.",Stay in a room with AC turned on with all windows closed.,A little less than before.,"Habit, protect themselves from catching a virus","No, I rarely wear one anyway.",Only when it's bad,I wear it because I want to protect my health.,"Yes, it's just a normal part of every year now, No, I still feel it is a dangerous and unusual problem",I will stay here and just accept it as part of life.,"No, I don't feel it is necessary to wear a mask indoors","Burning of agricultural fields and forests, Smoke from old cars, trucks, and motorcycles, Smoke coming from across the border / areas",Through a weather app or website (IQAir / AirVisual),"Yes, I believe it will get better."
07/04/2026 21:37:33,"Allergic reactions (sneezing, itchy eyes), Breathing problems or respiratory issues, Feeling sick, tired, or dizzy overall, Sleepy, Inactive and Drowsy",Over 40,Exercising or walking outside,"Face masks, More electricity for fans or Air Conditioning (AC)","More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray",I feel very stressed  and worried,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Staying inside mostly.,Only few people really care about smoke in the environment. Many people do not pay attention to bad air quality in surroundings.,"Yes, only when I feel bad or see dust.",Few times a week,I usually wear mask not only smoke but also protect my skin from direct sunlight.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),"No, I think it will stay the same or get worse."
07/04/2026 22:30:35,"Allergic reactions (sneezing, itchy eyes), Feeling sick, tired, or dizzy overall",Over 40,"Hanging out with friends at cafes or parks, Traveling or going on trips around Maesot, Working or studying in outdoor areas, Exercising or walking outside","Face masks, More electricity for fans or Air Conditioning (AC)","More people are wearing masks, The mountains or far-away buildings are hard to see, Everything looks grey","wear a mask, bring alcohol spray, travel by a car",I feel a little bit annoyed,"Yes, sometimes I talk less because I want to keep my mask on.",Stay in a room with AC turned on with all windows closed.,Only for work or food.,"In my opinion, many people do not wear masks outside due to discomfort, especially in hot weather, and a lack of awareness about the impact of air pollution on health.","No, I wear one all the time to stay safe.",Everyday,I wear it because I want to protect my health.,I only notice it during the very hot months (Jan-May),"I want to leave, but I have no choice because of my work or school.","Yes, it is easier to talk and eat without it",Burning of agricultural fields and forests,Through a weather app or website (IQAir / AirVisual),It will improve if consistent efforts are made by both the government and the community.
